location,purchase_date,purchase_id,product_code,quantity_sold,quantity_returned,revenue_after_returns
3,1/1/2020,1724072,48643,1,0,10
3,1/1/2020,1724072,31379,4,0,340
3,1/1/2020,2769217,30561,6,0,498
3,1/1/2020,2769217,45925,4,0,292
3,1/1/2020,2769217,40346,6,0,432
3,1/1/2020,2769217,29684,6,0,786
3,2/1/2020,2182494,18090,2,1,64
3,2/1/2020,2182494,32391,4,1,408
3,3/1/2020,2365083,40075,7,0,322
3,3/1/2020,2365083,20053,6,0,510
3,3/1/2020,2365083,18772,2,0,48
3,3/1/2020,2365083,36826,4,0,268
3,3/1/2020,4630097,48794,7,0,413
3,3/1/2020,4630097,31379,1,0,85
3,3/1/2020,4630097,32812,4,0,40
2,4/1/2020,4598105,11909,2,0,104
2,5/1/2020,2364853,20406,2,0,194
2,6/1/2020,1743003,10803,2,0,262
2,6/1/2020,1293521,24335,1,0,69
2,6/1/2020,1293521,11658,4,0,300
2,6/1/2020,1293521,18563,2,0,36
2,6/1/2020,2175839,19207,3,0,198
2,6/1/2020,2175839,26161,6,0,228
2,6/1/2020,2175839,38662,1,0,116
2,6/1/2020,2175839,27126,3,0,264
2,6/1/2020,2175839,17956,7,0,1036
2,6/1/2020,2175839,36882,2,0,300
2,6/1/2020,2175839,36466,5,0,295
1,6/1/2020,1075923,32389,7,0,91
1,3/1/2020,3550557,41780,5,0,500
1,5/1/2020,4888598,28722,7,0,441
1,5/1/2020,4888598,41794,3,0,414
1,5/1/2020,4888598,32678,1,0,145
1,5/1/2020,4888598,13940,6,0,324
3,6/1/2020,2242473,41375,6,0,768
3,6/1/2020,2242473,14067,7,0,182
3,6/1/2020,2242473,26525,4,0,556
1,1/1/2020,2729178,11462,3,0,273
1,1/1/2020,2729178,48986,7,1,342
1,1/1/2020,2729178,27023,3,1,88
1,1/1/2020,2729178,19727,3,0,102
1,4/1/2020,1708896,34651,4,0,596
1,4/1/2020,1708896,33454,5,0,385
1,4/1/2020,1708896,11983,5,0,365
1,5/1/2020,4838102,28058,7,0,952
1,5/1/2020,4838102,28582,1,0,120
2,1/1/2020,3559952,11845,2,0,104
2,1/1/2020,3559952,18772,2,0,48
2,1/1/2020,3559952,34369,5,0,25
2,1/1/2020,3559952,14630,6,0,348
2,1/1/2020,3559952,24652,2,0,138
2,5/1/2020,4530102,41384,2,0,192
2,5/1/2020,4530102,19727,7,0,238
2,5/1/2020,3666429,12063,7,0,147
2,5/1/2020,3817735,35895,3,0,33
2,6/1/2020,3008775,15760,1,0,143
2,6/1/2020,3008775,44688,7,0,196
2,6/1/2020,3008775,19727,6,0,204
2,6/1/2020,3008775,36173,5,0,365
2,6/1/2020,4755937,46164,5,0,235
2,6/1/2020,4755937,10767,4,0,324
2,6/1/2020,4755937,18772,5,0,120
3,1/1/2020,2399417,43859,7,0,693
3,1/1/2020,3967004,29716,6,0,828
3,1/1/2020,3967004,31379,7,0,595
3,5/1/2020,1240054,32731,2,0,120
3,2/1/2020,4834367,15175,2,0,138
3,2/1/2020,4834367,41121,2,0,198
3,2/1/2020,4834367,11592,7,0,287
3,2/1/2020,4834367,35416,4,0,468
3,2/1/2020,4834367,27113,5,0,285
3,2/1/2020,4834367,19784,3,0,297
3,4/1/2020,4157534,30498,2,0,110
2,5/1/2020,4963174,17024,6,0,762
2,1/1/2020,4250915,30047,7,0,756
2,3/1/2020,3666045,20835,5,1,268
2,4/1/2020,4785647,20457,4,0,304
2,3/1/2020,4031461,23492,3,0,285
2,3/1/2020,4031461,37898,5,0,50
2,6/1/2020,4425583,27146,3,0,63
2,6/1/2020,4425583,19727,2,0,68
2,6/1/2020,4425583,17761,3,0,177
2,6/1/2020,4131757,25835,5,0,310
2,6/1/2020,4131757,17107,1,0,63
2,6/1/2020,4131757,18772,5,0,120
2,6/1/2020,4131757,33799,7,0,567
2,6/1/2020,4131757,30809,4,0,192
2,6/1/2020,4131757,14391,2,0,244
2,6/1/2020,4131757,13755,5,0,685
2,6/1/2020,1675000,40985,1,0,23
2,6/1/2020,1675000,27084,1,0,61
2,6/1/2020,4683664,48649,1,0,70
2,4/1/2020,4725029,10566,3,0,339
2,4/1/2020,4725029,47857,7,0,301
2,5/1/2020,2106888,44023,6,0,750
2,5/1/2020,1960636,43698,7,0,861
2,5/1/2020,1960636,23345,2,0,36
2,5/1/2020,1960636,14106,5,0,730
2,5/1/2020,1960636,14576,1,0,135
3,1/1/2020,3531695,18772,7,0,168
3,1/1/2020,3531695,14386,2,0,156
3,1/1/2020,4490059,15567,5,0,375
3,1/1/2020,4490059,44247,4,0,84
3,1/1/2020,4490059,33794,4,0,248
3,2/1/2020,4611069,42846,5,0,285
3,2/1/2020,4611069,40906,3,0,57
2,2/1/2020,3845021,21835,3,0,447
2,4/1/2020,4626180,47144,4,0,372
2,6/1/2020,4234489,48911,6,0,186
2,6/1/2020,3571123,40592,5,0,185
2,6/1/2020,3571123,42555,2,0,188
2,6/1/2020,3571123,17902,7,0,938
2,6/1/2020,3571123,23730,4,0,500
2,6/1/2020,3571123,19958,4,0,348
2,6/1/2020,3571123,29837,1,0,119
2,6/1/2020,3571123,32569,2,0,248
2,6/1/2020,1504049,11858,5,0,480
2,6/1/2020,1048443,15401,3,0,285
2,5/1/2020,2851136,40259,6,0,210
2,5/1/2020,2851136,23381,3,0,357
2,5/1/2020,2851136,20398,2,0,96
3,5/1/2020,3905581,40778,5,0,590
3,5/1/2020,3905581,27785,7,0,763
3,5/1/2020,3905581,24115,6,0,150
3,5/1/2020,3905581,21966,3,0,291
2,3/1/2020,1071802,34005,1,0,107
2,3/1/2020,3012525,37240,7,0,595
2,3/1/2020,2460572,22139,6,0,624
2,3/1/2020,2460572,27044,1,0,44
2,6/1/2020,4749346,45168,5,0,85
2,6/1/2020,4185501,18772,2,0,48
2,6/1/2020,4185501,34629,7,0,560
2,6/1/2020,4185501,40521,6,0,654
2,6/1/2020,2786973,37094,6,0,330
2,6/1/2020,2786973,16102,5,0,145
2,6/1/2020,2786973,18772,3,0,72
2,6/1/2020,2786973,46201,1,0,119
2,5/1/2020,2972082,49550,3,0,384
2,5/1/2020,2186228,11516,6,0,762
2,5/1/2020,2186228,16299,1,0,35
2,5/1/2020,2186228,43560,4,0,432
2,5/1/2020,2186228,29391,4,0,516
2,5/1/2020,2468270,18772,6,0,144
2,2/1/2020,2484494,17701,5,0,560
2,2/1/2020,2484494,49078,3,0,54
2,2/1/2020,2484494,11696,2,0,166
2,2/1/2020,2484494,44845,5,0,675
2,2/1/2020,2484494,18772,6,0,144
2,3/1/2020,4778757,14577,6,0,900
2,3/1/2020,4778757,21264,4,0,468
2,3/1/2020,4778757,44634,6,0,234
2,6/1/2020,2496451,15341,5,0,460
2,6/1/2020,2496451,30251,7,0,630
2,6/1/2020,2496451,16071,3,0,132
2,6/1/2020,2496451,19057,5,0,245
2,6/1/2020,2496451,11781,2,0,86
2,6/1/2020,2496451,13669,5,0,545
2,6/1/2020,2496451,34267,7,0,539
2,6/1/2020,2496451,48246,3,0,399
2,6/1/2020,2496451,14513,1,0,96
2,6/1/2020,2193219,21899,1,0,92
2,6/1/2020,2193219,18772,2,0,48
2,6/1/2020,2193219,17397,3,0,342
1,1/1/2020,3789020,10738,3,0,201
1,1/1/2020,3789020,35802,2,1,77
1,1/1/2020,4389799,42411,2,0,136
1,1/1/2020,4389799,32706,3,0,75
1,4/1/2020,2498852,33378,2,0,158
2,5/1/2020,3136330,42728,1,0,26
2,5/1/2020,3136330,18772,6,0,144
2,5/1/2020,3136330,18734,3,0,387
1,6/1/2020,4048425,19314,2,0,88
1,1/1/2020,1606040,18876,1,0,72
1,1/1/2020,1606040,13252,2,0,94
1,1/1/2020,1606040,18112,7,0,833
1,1/1/2020,1606040,15803,7,0,644
1,3/1/2020,2186746,36666,7,0,777
1,3/1/2020,2186746,21960,5,0,285
1,6/1/2020,4844942,16695,4,0,596
1,2/1/2020,4080419,14441,1,0,95
1,3/1/2020,3045855,45666,1,0,42
1,3/1/2020,3045855,24102,7,0,595
1,4/1/2020,2326385,38316,1,0,10
1,4/1/2020,2326385,46892,4,0,380
1,4/1/2020,2326385,19727,7,0,238
1,4/1/2020,2176960,18567,5,0,470
1,6/1/2020,3723684,45897,2,0,76
1,1/1/2020,4631260,25485,7,0,315
1,1/1/2020,4631260,48540,1,0,54
1,6/1/2020,4660528,24710,7,0,959
1,6/1/2020,4660528,44959,7,0,413
1,6/1/2020,4660528,18772,5,0,120
2,5/1/2020,3167179,29567,1,0,13
2,5/1/2020,3167179,45972,3,0,450
2,5/1/2020,3167179,47455,7,0,994
2,5/1/2020,3167179,10869,4,0,20
3,1/1/2020,4105591,18772,4,0,96
3,1/1/2020,4105591,33408,4,0,588
3,3/1/2020,4737142,19824,6,1,690
3,4/1/2020,3530016,41165,1,0,8
3,4/1/2020,3530016,17532,4,0,152
3,4/1/2020,3530016,25140,5,0,435
3,4/1/2020,3530016,43086,7,0,203
2,6/1/2020,2571483,27445,1,0,85
2,6/1/2020,2571483,17693,6,0,360
2,6/1/2020,2571483,34936,5,0,605
2,6/1/2020,2571483,10729,1,0,55
2,6/1/2020,2571483,49985,4,0,292
2,6/1/2020,2571483,36329,3,0,99
2,6/1/2020,2571483,12342,6,0,492
2,6/1/2020,2571483,44278,2,0,38
2,6/1/2020,2571483,25862,5,0,685
2,6/1/2020,2571483,46659,5,0,440
2,3/1/2020,4833561,19708,3,0,288
2,3/1/2020,4833561,37958,2,0,268
2,4/1/2020,1722562,21140,2,0,278
2,4/1/2020,3179751,31379,7,0,595
2,4/1/2020,3179751,33735,2,0,236
2,6/1/2020,2607342,48474,3,0,324
2,6/1/2020,2607342,20553,3,0,171
2,2/1/2020,2238133,31379,4,0,340
2,2/1/2020,2238133,24061,2,0,286
2,2/1/2020,2238133,45006,3,0,168
2,3/1/2020,2699937,49129,1,0,88
2,3/1/2020,2646129,21140,5,0,695
2,6/1/2020,2162469,22284,7,0,413
2,6/1/2020,2162469,44062,2,0,100
2,6/1/2020,2162469,19468,5,0,25
2,6/1/2020,2162469,24677,7,0,462
2,6/1/2020,2162469,17417,1,0,61
2,6/1/2020,2162469,37321,5,0,120
2,6/1/2020,2162469,42035,5,0,585
2,6/1/2020,2162469,26412,7,0,77
2,6/1/2020,2162469,20681,4,0,340
2,6/1/2020,2162469,36598,6,0,744
2,6/1/2020,1571108,31379,3,0,255
2,6/1/2020,1571108,37829,4,0,356
1,1/1/2020,4112207,39874,6,0,846
1,1/1/2020,4112207,46470,3,0,144
1,6/1/2020,3443050,39216,6,0,588
1,6/1/2020,3443050,36601,1,0,23
1,6/1/2020,3443050,27696,1,0,52
1,6/1/2020,3443050,30924,1,0,27
1,6/1/2020,4037189,20432,6,0,876
1,6/1/2020,4037189,44514,4,0,388
1,6/1/2020,4037189,30859,3,0,279
1,6/1/2020,4037189,14502,2,0,284
1,6/1/2020,4037189,11289,1,0,35
1,6/1/2020,4037189,32122,7,0,623
1,3/1/2020,3971988,10800,2,0,124
1,3/1/2020,3971988,14257,7,0,343
1,3/1/2020,3971988,30345,3,0,60
1,6/1/2020,1988400,34382,7,0,504
1,6/1/2020,1988400,39136,6,0,810
1,6/1/2020,1988400,49077,6,0,120
2,3/1/2020,3943154,20888,2,0,212
2,6/1/2020,3951942,21175,7,0,826
2,6/1/2020,3951942,16170,6,0,552
1,3/1/2020,3763375,20864,2,0,88
1,5/1/2020,3072717,40445,2,0,212
1,5/1/2020,3072717,46217,5,0,720
1,4/1/2020,3108833,49223,1,0,39
1,4/1/2020,3108833,18772,2,0,48
1,4/1/2020,2127108,24279,6,0,354
1,4/1/2020,2127108,13213,5,0,245
1,4/1/2020,2127108,48506,3,0,159
1,1/1/2020,4045066,27062,7,0,931
1,1/1/2020,1518665,17522,3,0,111
1,1/1/2020,4337997,10803,1,0,131
1,1/1/2020,4337997,35701,1,0,94
1,1/1/2020,2939985,44163,5,0,685
1,1/1/2020,4617947,26280,3,0,246
1,6/1/2020,3287428,26001,2,0,286
1,6/1/2020,3287428,15663,3,0,279
1,6/1/2020,3287428,10343,2,0,180
